"Key","en (English)","it (Italian)","pl (Polish)","es (Spanish)","de (German)","pt (Portuguese)","fr (French)","ja (Japanese)","ru (Russian)","tr (Turkish)","ar (Arabic)","cs (Czech)","th (Thai)","id (Indonesian)","nl (Dutch)","vi (Vietnamese)","ko (Korean)","zh-Hans (ChineseSimplified)","zh-Hant (ChineseTraditional)","lt (Lithuanian)","uk (Ukrainian)","lv (Latvian)","hi (Hindi)","el (Greek)","pt-BR (Brazilian)"
"PreventTaskCompletion_Description","- Stop innocents from completing tasks and escaping!","- Ferma gli innocenti dal completare i compiti e fuggire!","- Powstrzymaj niewinnych przed ukończeniem zadań i ucieczką!","- ¡Detén a los inocentes de completar tareas y escapar!","- Halte Unschuldige davon ab, Aufgaben zu erfüllen und zu entkommen!","- Impeça os inocentes de completar tarefas e escapar!","- Empêchez les innocents de terminer les tâches et de s'échapper !","- 無実の人々がタスクを完了して逃げるのを止めて！","- Остановите невиновных от выполнения заданий и побега!","- Masumları görevleri tamamlamaktan ve kaçmaktan alıkoy!","- منع الأبرياء من إكمال المهام والهروب!","- Zastavte nevinné, aby dokončili úkoly a unikli!","- หยุดคนไม่รู้เป็นจากการเสร็จสิ้นงานและหนี!","- Hentikan orang tak bersalah dari menyelesaikan tugas dan melarikan diri!","- Voorkom dat onschuldigen taken voltooien en ontsnappen!","- Ngăn chặn người vô tội hoàn thành nhiệm vụ và trốn thoát!","- 무고한 사람들이 작업을 완료하고 도망치는 것을 막으십시오!","- 阻止无辜者完成任务并逃跑！","- 阻止無辜者完成任務並逃跑！","- Sustabdyk nekaltuosius nuo užduočių atlikimo ir pabėgimo!","- Зупиніть невинних від виконання завдань і втечі!","- Novērsiet nevainīgus cilvēkus no uzdevumu pabeigšanas un bēgšanas!","- मासूमों को कार्य पूरा करने और भाग जाने से रोकें!","- Σταματήστε τους αθώους από το να ολοκληρώσουν τα καθήκοντα και να δραπετεύσουν!","- Impeça os inocentes de completar tarefas e escapar!"
"SurviveAndEscape","Survive & escape","Sopravvivi & fuggi","Przetrwaj & ucieknij","Sobrevive & escapa","Überleben & entkommen","Sobreviver & escapar","Survivre & s'échapper","生き残って逃げる","Выжить & сбежать","Hayatta Kal & Kaç","البقاء على قيد الحياة & الهروب","Přežít & uniknout","รอดตาย & หนี","Selamat & kabur","Overleven & ontsnappen","Sống sót & thoát","생존하고 탈출하다","生存 & 逃脱","生存 & 逃脫","Išgyventi & pabėgti","Вижити & втекти","Izdzīvot & izbēgt","जीने और भाग जाने","Επιβίωση & διαφυγή","Sobreviver & escapar"
"SurviveAndEscape_Description","- Escape ladder will appear automatically once main task is completed
- Survive against traitors and other dangers!","- La scala di fuga apparirà automaticamente una volta completato il compito principale
- Sopravvivi contro i traditori e altri pericoli!","- Drabina ucieczki pojawi się automatycznie po ukończeniu głównego zadania
- Przetrwaj przeciwko zdrajcom i innym zagrożeniom!","- La escalera de escape aparecerá automáticamente una vez completada la tarea principal
- ¡Sobrevive contra traidores y otros peligros!","- Die Fluchtleiter erscheint automatisch, sobald die Hauptaufgabe abgeschlossen ist
- Überlebe gegen Verräter und andere Gefahren!","- A escada de fuga aparecerá automaticamente assim que a tarefa principal for concluída
- Sobreviva contra traidores e outros perigos!","- L'échelle de fuite apparaîtra automatiquement une fois la tâche principale terminée
- Survivez contre les traîtres et autres dangers !","- 主要なタスクが完了すると、逃走用のはしごが自動的に表示されます
- 裏切り者や他の危険に対して生き残って！","- Лестница для побега появится автоматически, как только основное задание будет выполнено
- Выживайте против предателей и других опасностей!","- Merdiven ana görev tamamlandıktan sonra otomatik olarak çıkacaktır
- Hainlere ve diğer tehlikelere karşı hayatta kalın!","- ستظهر سلم الهروب تلقائيًا بمجرد اكتمال المهمة الرئيسية
- البقاء على قيد الحياة ضد الخونة والمخاطر الأخرى!","- Únikový žebřík se automaticky objeví, jakmile bude hlavní úkol dokončen
- Přežijte proti zrádcům a dalším nebezpečím!","- บันไดหนีจะปรากฏขึ้นอัตโนมัติเมื่อเสร็จสิ้นงานหลัก
- รอดตายจากคนที่ทรยศและอันตรายอื่น ๆ!","- Tangga pelarian akan muncul secara otomatis setelah tugas utama selesai
- Bertahan hidup melawan pengkhianat dan bahaya lainnya!","- De vluchtladder verschijnt automatisch zodra de hoofdtaak is voltooid
- Overleef tegen verraders en andere gevaren!","- Cầu thang thoát hiểm sẽ tự động xuất hiện khi nhiệm vụ chính hoàn thành
- Sống sót chống lại kẻ phản bội và các nguy hiểm khác!","- 주요 작업이 완료되면 탈출용 사다리가 자동으로 나타납니다
- 배신자와 다른 위험에 대해서도 생존하세요!","- 一旦完成主要任务，逃生梯将自动出现
- 对抗叛徒和其他危险生存！","- 一旦完成主要任務，逃生梯將自動出現
- 對抗叛徒和其他危險生存！","- Pabėgimo kopėčios automatiškai pasirodys, kai pagrindinė užduotis bus atlikta
- Išgyvenk prieš išdavikus ir kitas grėsmes!","- Сходи для втечі з'являться автоматично, як тільки основне завдання буде виконано
- Виживайте проти зрадників та інших небезпек!","- Bēgšanas kāpnes parādīsies automātiski, tiklīdz galvenais uzdevums tiks pabeigts
- Izdzīvot pret nodevējiem un citiem bīstamības avotiem!","- मुख्य कार्य पूरा होने के बाद भाग जाने की सीढ़ी स्वत: ही दिखाई देगी
- धोखेबाजों और अन्य खतरों के खिलाफ जीने!","- Η σκάλα διαφυγής θα εμφανιστεί αυτόματα μόλις ολοκληρωθεί η κύρια αποστολή
- Επιβίωση απέναντι σε προδότες και άλλους κινδύνους!","- A escada de fuga aparecerá automaticamente assim que a tarefa principal for concluída
- Sobreviva contra traidores e outros perigos!"
"Tutorial","Tutorial","Tutorial","Samouczek","Tutorial","Tutorial","Tutorial","Tutoriel","チュートリアル","Учебник","Eğitim","دليل","Tutoriál","บทเรียน","Tutorial","Tutorial","Hướng dẫn","튜토리얼","教程","教程","Mokymo programa","Підручник","Apmācība","ट्यूटोरियल","Οδηγός","Tutorial"
"CarrotHike","Carrot Hike","Escursione delle carote","Wędrówka za marchewką","Senderismo de zanahorias","Karottenwanderung","Caminhada da Cenoura","Randonnée de carottes","ニンジンハイキング","Поход за морковью","Havuç Yürüyüşü","رحلة الجزر","Pochod za mrkvemi","เดินป่าหาแครอท","Pendakian Wortel","Wortelwandeling","Đi bộ đường dài tìm cà rốt","당근 하이킹","胡萝卜徒步","胡蘿蔔徒步","Morkų žygis","Похід за морквою","Burkānu pārgājiens","गाजर हाइक","Πεζοπορία με Καρότα","Caminhada da Cenoura"
"CarrotHike_Description","Allows you to jump without dropping the carrot","Ti permette di saltare senza far cadere la carota","Pozwala skakać bez upuszczania marchewki","Te permite saltar sin dejar caer la zanahoria","Ermöglicht dir zu springen, ohne die Karotte fallen zu lassen","Permite-te saltar sem deixar cair a cenoura","Vous permet de sauter sans faire tomber la carotte","にんじんを落とさずにジャンプできます","Позволяет прыгать, не роняя морковь","Havucu düşürmeden zıplamanı sağlar","يتيح لك القفز دون إسقاط الجزر","Umožňuje ti skákat, aniž by ti mrkev vypadla","ช่วยให้คุณกระโดดโดยไม่ทำให้แครอทตก","Memungkinkan Anda melompat tanpa menjatuhkan wortel","Laat je springen zonder de wortel te laten vallen","Cho phép bạn nhảy mà không làm rơi cà rốt","당근을 떨어뜨리지 않고 점프할 수 있습니다","允许你跳跃而不掉落胡萝卜","允許你跳躍而不掉落胡蘿蔔","Leidžia šokinėti nenumesdamas morkos","Дозволяє стрибати, не випускаючи моркву","Ļauj lēkt, neizmetot burkānu","गाजर गिराए बिना आपको कूदने की अनुमति देता है","Σας επιτρέπει να πηδάτε χωρίς να ρίχνετε το καρότο","Permite pular sem deixar cair a cenoura"
"Currency","Currency:","Valuta:","Waluta:","Moneda:","Währung:","Moeda:","Devise:","通貨:","Валюта:","Para Birimi:","عملة:","Měna:","สกุลเงิน:","Mata Uang:","Valuta:","Tiền tệ:","통화:","货币:","貨幣:","Valiuta:","Валюта:","Valūta:","मुद्रा:","Νόμισμα:","Moeda:"
"FasterJumps","Faster jumps","Salti più veloci","Szybsze skoki","Saltos más rápidos","Schnellere Sprünge","Saltos mais rápidos","Sauts plus rapides","ジャンプが速い","Быстрые прыжки","Daha Hızlı Zıplamalar","قفزات أسرع","Rychlejší skoky","กระโดดเร็วขึ้น","Lompatan Lebih Cepat","Snellere sprongen","Nhảy nhanh hơn","빠른 점프","更快的跳跃","更快的跳躍","Greitesni šuoliai","Швидкі стрибки","Ātrāki lēcieni","तेजी से कूदें","Ταχύτερα Άλματα","Saltos mais rápidos"
"GlobalWarming","Global Warming","Riscaldamento globale","Globalne ocieplenie","Calentamiento global","Globale Erwärmung","Aquecimento global","Réchauffement climatique","地球温暖化","Глобальное потепление","Küresel Isınma","الاحتباس الحراري","Globální oteplování","โลกร้อน","Pemanasan Global","Opwarming van de aarde","Biến đổi khí hậu","지구 온난화","全球变暖","全球暖化","Globalinis atšilimas","Глобальне потепління","Globālā sasilšana","वैश्विक तापन","Παγκόσμια Θέρμανση","Aquecimento global"
"GlobalWarming_Description","Winter is coming, but is delayed by one minute per upgrade.","L'inverno sta arrivando, ma è ritardato di un minuto per ogni aggiornamento.","Zima nadchodzi, ale opóźniona jest o minutę za każdą ulepszenie.","El invierno está llegando, pero se retrasa un minuto por cada mejora.","Der Winter kommt, wird aber pro Upgrade um eine Minute verzögert.","O inverno está chegando, mas é adiado em um minuto por atualização.","L'hiver arrive, mais est retardé d'une minute par mise à niveau.","冬が来ますが、アップグレードごとに1分遅れます。","Зима идет, но задерживается на одну минуту за каждое улучшение.","Kış geliyor, ama her yükseltmeyle bir dakika gecikiyor.","الشتاء قادم، لكنه يتأخر دقيقة واحدة لكل ترقية.","Zima se blíží, ale je zpožděna o jednu minutu za každý upgrade.","หนาวกำลังมา แต่จะหน่วงไป 1 นาทีต่อการอัพเกรด","Musim dingin datang, tetapi tertunda satu menit per peningkatan.","De winter komt eraan, maar wordt met één minuut vertraagd per upgrade.","Mùa đông đang đến, nhưng bị trễ một phút cho mỗi lần nâng cấp.","겨울이 오고 있지만, 업그레이드 당 1분씩 지연됩니다.","冬天即将来临，但每次升级都会延迟一分钟。","冬天即將來臨，但每次升級都會延遲一分鐘。","Žiema ateina, bet vėluoja vieną minutę už kiekvieną atnaujinimą.","Зима наближається, але затримується на одну хвилину за кожне оновлення.","Ziema tuvojas, bet tiek aizkavēta par vienu minūti ar katru jauninājumu.","सर्दियां आ रही हैं, लेकिन हर अपग्रेड के साथ एक मिनट देरी हो रही है।","Ο χειμώνας έρχεται, αλλά καθυστερεί ένα λεπτό ανά αναβάθμιση.","O inverno está chegando, mas é adiado em um minuto por atualização."
